,AFE101,AFE103,BIO101,CHM101,CSC101,GST111,GST113,GST115,MAT101,PHY101,PHY103,PHY107,STA111,AFE124,AFE126,AFE128,AFE130,AFE132,CSC102,CSC104,GST114,GST122,MAT102,MAT104,PHY102,PHY108,STA132,AFE101.1,AFE103.1,AFE203,AFE2051,BIO 101,CHM101.1,CSC101.1,CSC201,CSC203,CSC205,CSC207,CSC2093,CSC211,GST111.1,GST113.1,GST115.1,MAT101.1,MAT201,MAT205,PHY101.1,PHY103.1,PHY107.1,STA111.1,STA211,AFE126.1,AFE130.1,AFE202,CSC102.1,CSC104.1,CSC202,CSC204,CSC206,CSC208,GST114.1,GST212,MAT102.1,MAT104.1,MAT204,PHY102.1,PHY108.1,PHY202,STA132.1,AFE103.2,AFE203.1,AFE2051.1,BIO101.1,CSC201.1,CSC203.1,CSC205.1,CSC207.1,CSC2093.1,CSC211.1,CSC299,CSC301,CSC303,CSC305,CSC307,CSC309,CSC311,CSC315,GST113.2,GST115.2,GST301,MAT101.2,MAT201.1,MAT205.1,PHY101.2,PHY107.2,STA111.2,STA211.1,AFE126.2,AFE128.1,AFE202.1,CSC202.1,CSC204.1,CSC206.1,CSC208.1,CSC208.2,CSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,GST212.1,MAT204.1,PHY102.2,PHY108.2,PHY202.1,300L_2ND_CGPA
0,5.0,0.0,0.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,5.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,3.0,4.0,3.0,4.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.26
1,3.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,5.0,3.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,4.0,3.0,2.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36
2,3.0,4.0,0.0,2.0,3.0,2.0,0.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,4.0,4.0,0.0,2.0,3.0,0.0,3.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,3.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.26
3,5.0,4.0,0.0,4.0,5.0,4.0,4.0,5.0,2.0,5.0,4.0,2.0,2.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,5.0,5.0,4.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,3.0,5.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,3.95
4,0.0,5.0,0.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6
5,4.0,5.0,0.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,3.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,4.61
6,3.0,5.0,0.0,4.0,4.0,3.0,2.0,5.0,4.0,4.0,3.0,3.0,4.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,3.0,3.0,3.0,2.0,5.0,4.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,3.0,5.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,4.0,5.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,3.59
7,4.0,4.0,0.0,4.0,5.0,2.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,5.0,4.0,4.0,3.0,4.0,5.0,2.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,3.0,4.0,3.0,3.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.93
8,2.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,5.0,4.0,2.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,3.0,3.0,4.0,0.0,3.0,2.0,2.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,5.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3.17
9,3.0,3.0,0.0,2.0,3.0,0.0,0.0,5.0,4.0,5.0,4.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,2.0,3.0,2.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,4.0,2.0,5.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63
10,3.0,4.0,0.0,0.0,0.0,5.0,3.0,5.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06
11,2.0,4.0,2.0,2.0,0.0,3.0,4.0,3.0,3.0,2.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63
12,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,5.0,2.0,0.0,2.0,0.0,0.0,5.0,5.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,4.0,4.0,4.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,4.0,5.0,2.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.22
13,5.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,2.0,5.0,0.0,0.0,4.0,0.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,5.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,4.0,4.0,3.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,3.74
14,3.0,3.0,2.0,3.0,3.0,2.0,3.0,5.0,4.0,2.0,4.0,5.0,2.0,0.0,3.0,0.0,5.0,0.0,2.0,4.0,5.0,4.0,0.0,2.0,3.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,5.0,4.0,4.0,3.0,0.0,5.0,3.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3.33
15,4.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,5.0,3.0,0.0,4.0,0.0,4.0,0.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,4.0,3.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.88
16,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,5.0,2.0,3.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57
17,4.0,3.0,2.0,2.0,0.0,0.0,0.0,3.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,3.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,0.0,3.0,0.0,3.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05
18,4.0,3.0,2.0,3.0,5.0,2.0,4.0,5.0,2.0,4.0,3.0,4.0,5.0,0.0,3.0,0.0,0.0,5.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,4.0,4.0,2.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,4.0,5.0,2.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.3
19,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,0.0,5.0,4.0,0.0,0.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15
20,3.0,3.0,0.0,4.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0,0.0,5.0,4.0,0.0,0.0,0.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,2.0,3.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,5.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,5.0,4.0,3.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,5.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.81
21,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,4.0,3.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,4.21
22,2.0,3.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,2.0,4.0,5.0,3.0,4.0,0.0,0.0,0.0,5.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,3.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,4.0,5.0,4.0,3.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,3.0,5.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.89
23,3.0,2.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0,2.0,4.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,5.0,5.0,3.0,3.0,2.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,4.0,4.0,3.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.9
24,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,5.0,3.0,4.0,5.0,2.0,3.0,0.0,0.0,4.0,0.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,4.0,5.0,4.0,4.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.02
25,3.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,0.0,4.0,0.0,0.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,5.0,3.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,5.0,3.0,3.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.87
26,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0,3.0,2.0,2.0,0.0,3.0,0.0,0.0,5.0,2.0,2.0,3.0,4.0,3.0,0.0,3.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29
27,4.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67
